OTU.ID	S2.10	S2.11	S2.12	S2.13	S2.14	S2.15	S2.16	S2.17	S2.18	S2.1	S2.2	S2.3	S2.4	S2.5	S2.6	S2.7	S2.8	S2.9	S1.1b	S1.1	S1.2b	S1.2	S1.3b	S1.3	S1.4b	S1.4
OTU1	0.110178524	0.012227856	0.228804689	0.178220724	0.190966011	0.017755583	0.021865072	0.015889114	0.01840727	0.020177037	0.003403773	0.002525678	0.073417491	0.0131209	0.007919274	0.188098086	0.196974328	0.220481928	0.075714682	0.081938965	0.073350031	0.173147833	0.075193329	0.053901517	0.000858412	0.002887259
OTU2	0.017186251	0.266626901	0.024701696	0	0.008676208	0	0.018688096	0.032341672	0.015095502	0.191746941	0.181534534	0.189762586	0.008339789	0	0	0.012410287	0.001833741	0.004216867	0.008326395	0.00444384	0.002716065	0.001084498	0	0	0.116340133	0.136846929
OTU3	0.004263256	0	0.02909776	0.015535688	0.019051878	0	0.188002243	0.03166554	0.103743068	0.021348607	0.026946532	0.023909749	0.001822905	0	0	0.016148325	0	0.002259036	0	0	0	0	0	0	0	0
OTU4	0.013855582	0.022964509	0.027841742	0.017441008	0.019051878	0.024691358	0.011960381	0	0.010551448	0.021999479	0.0154588	0.026267048	0.001868477	0	0	0.015849282	0	0.022590361	0.01498751	0.015281368	0.012279218	0.00827317	0	0	0.012850939	0.013061412
OTU5	0.002131628	0.069490009	0.018002931	0.004836582	0.005545617	0.00707449	0.003363857	0	0.002233518	0.04608175	0.063395263	0.052702475	0.00104817	0	0	0	0	0	0.003219539	0.003582279	0.000130111	0.000526756	0	0	0.027948899	0.011640697
OTU6	0.010791367	0	0.013606866	0.034295764	0.03372093	0	0.006540833	0.008677034	0.005468269	0	0.022975464	0.030139754	0.000820307	0	0	0.019886364	0	0.022891566	0.016430752	0.017321906	0.002569691	0	0	0	0.017269239	0.019706691
OTU7	0.011191047	0	0	0.022570717	0.013595707	0.018310445	0	0.022763128	0.01987061	0	0.028222947	0	0.005514287	0	0	0.013755981	0.020935208	0.043975904	0.01820705	0.010520111	0.01110822	0.009078797	0	0	0.005579681	0.006416132
OTU8	0.005595524	0	0.016956249	0.001612194	0.003041145	0	0.033638572	0.127112914	0.020563771	0.002863838	0.003261949	0.001683785	0.001686187	0	0	0.021830144	0.002750611	0.002108434	0	0.001813812	0.003984647	0.00092957	0	0	0	0.000733272
OTU9	0.01598721	0	0	0	0	0	0	0.008226279	0	0	0	0	0.011621018	0	0.106527015	0	0	0	0.005995004	0.010293384	0.009823374	0.005050662	0	0.040594418	0.002777217	0.006141155
OTU10	0.008659739	0.044139576	0.019258949	0.015828814	0.012880143	0.025523651	0.006540833	0.009691233	0.00793284	0.009632908	0	0	0	0	0	0	0	0	0.028087705	0.012923412	0.00315519	0	0	0	0.009568774	0.006370302
OTU11	0.00452971	0.006263048	0	0	0	0.160493827	0	0	0.003696858	0	0	0	0.020553252	0	0	0.010316986	0	0	0	0	0	0	0	0	0	0
OTU12	0.038369305	0	0.014444212	0.027993551	0.020572451	0	0.022986358	0.009240478	0.003696858	0	0.020706283	0.022394342	0.003144511	0	0	0.020783493	0	0	0	0	0	0	0	0	0	0
OTU13	0	0.019982106	0	0	0	0	0.024107643	0.009240478	0.00723968	0.024733142	0.009644022	0	0.006562457	0.045610747	0.017626772	0	0	0	0	0	0	0	0.012152097	0.014342671	0.005327207	0.007332722
OTU14	0	0.051595586	0	0	0.009391771	0	0	0	0	0.025644363	0.019713516	0.012628389	0.021191268	0	0	0	0	0	0.004607272	0.00598558	0.002797385	0.00213801	0.015680125	0.008957697	0.007902444	0.004399633
OTU15	0	0	0.011513502	0.011285358	0.013774597	0	0.040366287	0.017241379	0.021025878	0	0.021840874	0	0.00469398	0	0.018776344	0	0.008863081	0	0	0.003128826	0.001610123	0.001828154	0	0.002433594	0	0.006278643
OTU16	0.019850786	0	0.020305631	0.023303532	0.018783542	0.020252462	0	0	0	0	0	0	0	0	0	0.015550239	0.009474328	0.01310241	0.009103525	0.007572666	0.002488371	0.003842221	0	0	0	0
OTU17	0.00452971	0.006263048	0.009838811	0	0.00822898	0	0.00971781	0.007775524	0.010551448	0.0173132	0.033186782	0.030139754	0	0	0	0	0	0	0	0	0	0	0	0	0.011083619	0.013565536
OTU18	0.002797762	0	0.016118903	0	0.001878354	0	0.007475238	0.006423259	0.004467036	0.035147097	0.04084527	0.033675703	0.000911452	0	0	0.007177033	0	0	0	0	0	0	0	0	0	0
OTU19	0	0	0.012141511	0.009380038	0.014490161	0.017478152	0	0.008338968	0	0.035407446	0.012196852	0	0.003463519	0.009372071	0	0.014802632	0.00702934	0.00753012	0	0	0	0	0	0	0.004191073	0
OTU20	0.015720757	0	0.012350848	0.017147882	0.014490161	0	0.015884881	0.010254677	0.009011091	0	0.01361509	0.017511366	0.00938796	0	0	0	0	0.017018072	0	0	0	0	0.000392003	0	0	0
OTU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14214308	0.005747861	0	0	0	0	0	0	0	0	0	0	0
OTU22	0.016919797	0	0.009210802	0.0123113	0.01332737	0	0	0.012170385	0.009011091	0	0.005956602	0.017848123	0.007063756	0	0	0	0	0	0.00632806	0.008298191	0.002098039	0	0.002316382	0	0.006286609	0.007103575
OTU23	0	0	0	0	0.001341682	0	0	0.004394861	0.003080715	0.008331164	0	0	0.01339835	0.02499219	0.016860391	0	0	0	0	0	0	0	0.020954349	0.022057681	0.002928701	0.002612282
OTU24	0	0	0.020305631	0	0	0	0.022986358	0.012959207	0.009319162	0.011976048	0.006807545	0	0.005651005	0	0.01085707	0	0	0	0.002886483	0	0.000748138	0	0.002993478	0.001864029	0.003635629	0.00375802
OTU25	0	0	0	0.02271728	0.016547406	0.026633375	0	0.011156187	0.009550216	0	0	0	0	0	0	0.013755981	0.008099022	0.005572289	0	0	0	0	0	0	0	0
OTU26	0	0	0	0	0	0	0	0.004394861	0.001463339	0.019656339	0.022266345	0.036369759	0.001458324	0	0	0	0	0	0	0	0	0	0	0	0.011108867	0.015352887
OTU27	0	0.014315538	0.032447143	0	0	0.006797059	0	0	0	0	0	0	0	0	0	0	0.005959658	0.010692771	0.013211213	0.010293384	0.004000911	0.010101323	0	0	0.001716825	0.00192484
OTU28	0.00532907	0	0.004605401	0.005862524	0.009481216	0.009571369	0.007849	0.003831418	0.003773876	0	0	0	0.001002598	0	0	0.016895933	0.020171149	0.009638554	0.003219539	0.002856754	0.001951664	0	0	0	0.000328217	0
OTU29	0	0	0	0	0	0	0	0	0	0.029028899	0.026095589	0.041084358	0	0	0	0	0	0	0	0	0	0	0	0	0.004721268	0.004078827
OTU30	0.004263256	0	0.0023027	0	0	0	0	0.003718729	0.002233518	0.014709711	0.020422635	0.028792726	0	0	0	0	0	0	0	0	0	0	0	0	0.009972733	0.014757104
OTU31	0	0	0.006698765	0.003664077	0.005724508	0	0.013268548	0.007662835	0.010397412	0.008331164	0.010353141	0.007408655	0.000592444	0	0	0.009569378	0.00702934	0.006325301	0	0	0	0	0	0	0	0
OTU32	0	0	0	0	0	0	0	0	0	0	0	0	0.004921843	0.041861918	0.022608251	0	0	0	0	0	0	0	0.012900467	0.01289287	0	0
OTU33	0	0	0	0	0	0	0	0	0	0	0.020422635	0.046640849	0	0	0	0	0	0	0	0	0.000552971	0	0	0	0.010023228	0.016452796
OTU34	0	0	0.021142977	0	0.014847943	0.019004023	0	0	0.006931608	0	0.008367607	0	0	0	0	0	0	0	0	0.006030925	0.000731874	0	0.001603649	0.002847823	0.004140578	0.004262145
OTU35	0.00985878	0	0	0.011578485	0.011270125	0	0.017193048	0.010254677	0.008009858	0.017833897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU36	0	0.029824038	0	0	0.011717352	0.007351921	0	0	0.007316697	0	0.004396539	0	0	0	0	0.010167464	0.01405868	0	0	0	0	0	0	0	0	0
OTU37	0	0	0	0	0	0.01539742	0.017379929	0	0.013247073	0	0	0.02492002	0	0	0	0	0	0	0	0	0	0	0	0	0.004973743	0.007653529
OTU38	0.007860378	0	0.011932175	0.015535688	0.008407871	0	0.005232667	0.014987604	0.005853358	0	0	0	0	0	0	0.005681818	0	0	0.00316403	0.003536934	0.000764402	0	0	0	0	0
OTU39	0	0.029525798	0	0	0.009033989	0	0	0	0.013632163	0	0	0	0.005605432	0	0	0	0	0	0.0047738	0.00598558	0.00172397	0.002014067	0.003848758	0.00403873	0.001312866	0.001054079
OTU40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035910758	0.020481928	0	0	0.004814104	0.01967589	0	0	0	0
OTU41	0	0	0.00816412	0.00996629	0.006440072	0.010681093	0.006353953	0.005070994	0.004158965	0	0.010069494	0	0	0	0	0.009419856	0.005654034	0.004518072	0	0	0	0	0	0	0	0
OTU42	0	0	0	0	0	0.022194479	0	0	0.019793592	0	0	0	0	0	0	0	0.014822738	0	0.007382737	0.00453453	0.002276941	0.005112633	0	0	0	0.003070577
OTU43	0.020383693	0	0.016537576	0	0.006350626	0	0	0.009127789	0.006161429	0	0	0	0.001503896	0	0	0.009120813	0	0.006927711	0	0	0	0	0	0	0	0
OTU44	0.002264855	0	0.016328239	0	0	0	0.012334143	0.011832319	0.019485521	0	0	0	0.000501299	0	0	0.01270933	0	0	0	0	0	0	0	0	0	0
OTU45	0.003730349	0.011929615	0	0	0	0	0	0	0	0.005337152	0.003261949	0	0.00487627	0.013745704	0.010090688	0	0	0	0.002164863	0.001859157	0	0	0.004454581	0.006472324	0.004039588	0.003483043
OTU46	0	0	0	0.017734135	0	0	0	0.01171963	0	0	0.017160686	0	0	0	0	0	0	0	0.006605606	0.006348343	0	0.003098565	0	0	0.006236114	0.005178735
OTU47	0.006794564	0	0	0.009673164	0.009570662	0.009571369	0.00971781	0.016227181	0.004158965	0	0	0	0	0	0	0	0.008099022	0	0	0	0	0	0	0	0	0
OTU48	0	0	0	0	0	0	0	0.009803922	0.005391251	0	0.014182385	0.023404614	0.002552067	0	0	0	0	0	0	0	0	0	0	0	0.007145021	0.010724106
OTU49	0	0	0	0	0	0.00707449	0.036254906	0	0	0	0	0	0	0	0	0	0	0	0	0.003219517	0.001024623	0	0	0	0.013153908	0.011044913
OTU50	0	0	0	0	0	0.007490637	0	0	0	0.03111169	0.01914622	0	0	0	0	0	0	0	0.004163197	0.002856754	0	0	0	0	0.003408402	0.002933089
OTU51	0	0	0.019468286	0	0	0.048689139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU52	0.013056222	0	0.007954783	0.011138795	0.011359571	0.009571369	0	0	0.004390018	0	0	0	0	0	0	0	0	0	0.0047738	0.004670566	0.000683082	0	0	0	0	0
OTU53	0	0	0	0	0	0	0	0	0	0	0.020138987	0	0.012259035	0.017182131	0.009707498	0	0	0	0	0	0	0	0.002352019	0.002330037	0.002221773	0
OTU54	0	0	0	0	0	0	0	0	0	0	0	0	0.012486898	0.007185255	0.031549368	0	0	0	0	0	0	0	0.005345497	0.00921659	0	0
OTU55	0	0	0	0	0	0	0	0	0.005391251	0.024602968	0	0.011618118	0	0	0	0	0	0	0.006217041	0.003174171	0.002114302	0	0	0	0.004595031	0.00751604
OTU56	0.013855582	0	0	0.007035029	0.012522361	0	0	0.009240478	0.006315465	0	0	0	0	0	0	0.004336124	0	0	0.003830142	0.003310207	0.000471652	0	0	0	0	0.00096242
OTU57	0	0	0	0	0	0.010126231	0	0	0	0	0	0	0	0	0	0.010316986	0.016656479	0	0.008492923	0.007073868	0.003350356	0.005422489	0	0	0	0
OTU58	0.022115641	0	0	0.017587571	0.00706619	0.010542378	0	0	0	0	0	0	0	0	0	0.003438995	0	0	0	0	0	0	0	0	0	0
OTU59	0.011990408	0	0.022608332	0	0	0.012068248	0	0	0	0	0	0	0.004602835	0	0	0.009270335	0	0	0	0	0	0	0	0	0	0
OTU60	0	0.009841933	0.00523341	0	0.004382826	0	0.008596524	0.003042596	0.001232286	0.008200989	0.008367607	0.011449739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU61	0.022915001	0	0	0.013776931	0	0	0	0.011043498	0.006161429	0	0	0	0	0	0	0	0	0	0.002941993	0.001949848	0.000650555	0	0	0	0	0
OTU62	0	0	0.011722839	0.00806097	0.007513417	0	0.007288357	0.006761325	0.007855823	0	0	0	0.002734357	0	0	0.005382775	0	0	0	0	0	0	0	0	0.001969299	0
OTU63	0	0.006859529	0	0	0	0	0	0	0	0.021088258	0	0.012965146	0	0	0	0	0	0	0	0	0	0	0	0	0.013507372	0.004766269
OTU64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058244987	0	0	0	0	0	0	0	0	0	0	0
OTU65	0	0	0.009629475	0.013337242	0.010286225	0	0	0.009240478	0	0	0	0	0	0	0	0	0	0.015662651	0	0	0	0	0	0	0	0
OTU66	0.019184652	0	0	0	0.022003578	0	0	0	0	0	0	0	0.003098938	0	0	0	0	0	0.00555093	0.003038135	0	0	0	0.001553358	0.001817815	0.001466544
OTU67	0.000932587	0	0.003977392	0	0	0	0.020930667	0.008226279	0.006931608	0.003644884	0.003829244	0.004377841	0	0	0	0	0	0	0	0	0.000650555	0	0	0	0.00078267	0.00192484
OTU68	0	0	0	0	0	0	0	0	0.002002465	0.010023431	0.013331442	0.013301903	0	0	0	0	0	0	0	0	0	0	0	0	0.00833165	0.008065995
OTU69	0	0	0	0	0	0	0	0	0	0	0	0	0.00747391	0.020930959	0.012006642	0	0	0	0	0	0	0	0.006557143	0.007611453	0	0
OTU70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054157619	0	0	0	0	0	0	0	0	0	0	0
OTU71	0	0.042648375	0	0	0	0	0	0	0	0	0.010211318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU72	0.016120437	0	0	0	0	0.009571369	0.012521024	0.007662835	0.006931608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU73	0	0	0.018212267	0	0	0.00554862	0	0	0	0	0.00808396	0	0	0	0	0	0	0	0.002275881	0.005622818	0.000601763	0	0	0	0.006513836	0.005453712
OTU74	0.002131628	0	0	0	0	0.015674851	0	0.003718729	0.000924214	0	0	0	0.00555986	0	0	0.023773923	0	0	0	0	0	0	0	0	0	0
OTU75	0	0.001491202	0	0	0	0	0	0	0	0	0	0	0.003554664	0.01968135	0.006258781	0	0	0	0	0	0	0	0.015573215	0.005177859	0	0
OTU76	0	0	0	0	0.007245081	0	0	0	0	0	0	0	0.000774735	0	0	0	0.015433985	0.012198795	0.005661948	0.003627624	0.003610578	0.002695752	0	0	0	0
OTU77	0	0	0.003349382	0	0.000805009	0	0.005980191	0.002591841	0.004467036	0	0	0	0	0	0	0.014354067	0.012988998	0.006475904	0	0	0	0	0	0	0	0
OTU78	0	0	0	0	0	0	0	0	0	0	0	0	0.001367179	0.024054983	0.008941116	0	0	0	0	0	0	0	0.007162966	0.008957697	0	0
OTU79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002750611	0.045933735	0	0	0.000439124	0.000433799	0	0	0	0
OTU80	0	0	0	0.00806097	0.007602862	0	0.007849	0.007775524	0	0	0	0	0	0	0	0	0	0	0	0.003174171	0.002764857	0.003439408	0	0	0.001641083	0.006736939
OTU81	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038425492	0	0	0	0	0.001498751	0.00222192	0	0	0.002458929	0.001190908	0	0.002520623
OTU82	0.009192646	0	0	0	0	0	0.007849	0	0	0.020958084	0	0	0	0	0	0	0	0	0	0	0.000829457	0	0	0	0.004569784	0.004582951
OTU83	0	0	0	0	0	0	0	0.008789723	0	0	0	0.029971376	0	0	0.008813386	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	0.027438115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009936164	0.009567859	0	0	0	0	0	0
OTU85	0.015853983	0	0	0	0	0	0.011025976	0.012170385	0.006238447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001439103	0
OTU86	0.006661338	0	0	0	0.006887299	0.003884034	0	0	0.001617375	0	0	0	0	0	0	0	0	0.010843373	0.004496253	0.004806602	0.002748593	0.004461934	0	0	0	0
OTU87	0	0	0	0	0	0.019975031	0	0.012733829	0	0	0	0	0	0	0	0	0	0	0.004163197	0.003536934	0.00235826	0.002943637	0	0	0	0
OTU88	0	0	0	0	0	0	0	0	0	0.012887269	0.019288044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009543527	0.00375802
OTU89	0.022382094	0	0.015909567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003357907	0.00375802
OTU90	0.013855582	0	0.009210802	0	0.012432916	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004163197	0.005441437	0	0	0	0	0	0
OTU91	0	0	0	0	0	0.024275212	0	0	0	0	0	0	0	0	0	0	0	0.008885542	0	0.004625221	0.005123117	0	0	0	0	0
OTU92	0.010391687	0	0.009210802	0.013337242	0	0	0	0	0	0	0.005105659	0.004714598	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU93	0	0	0	0	0	0	0	0	0	0	0	0	0.001777332	0.014995314	0.015838549	0	0	0	0	0	0	0	0.003242935	0.00626521	0	0
OTU94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014932001	0.008751644	0.002585955	0.000681684	0	0	0.002979196	0.012007333
OTU95	0	0	0	0	0	0.007906783	0.010839095	0	0	0	0	0.005219734	0	0	0	0	0	0	0.004607272	0.004715912	0.002293205	0	0	0	0.002322763	0.002703941
OTU96	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040299906	0	0	0	0	0	0	0	0	0	0	0	0
OTU97	0	0	0	0	0	0	0	0.002817219	0	0	0.01177138	0.005388112	0.018320193	0	0	0.001794258	0	0	0	0	0	0	0	0	0	0
OTU98	0	0	0	0	0	0	0	0	0	0	0	0	0.004192681	0.034676664	0	0	0	0	0	0	0	0	0	0	0	0
OTU99	0	0	0	0	0	0.007490637	0.011960381	0.010029299	0	0	0	0	0	0.009372071	0	0	0	0	0	0	0	0	0	0	0	0
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015710819	0	0	0	0	0	0	0	0.011902641	0.011184176	0	0
OTU101	0	0	0.006698765	0	0.005366726	0.008877792	0	0	0.003927911	0	0	0	0	0	0	0	0	0	0.0047738	0.004806602	0.001382429	0	0	0	0.001363361	0.001374885
OTU102	0	0	0	0	0	0	0	0	0	0	0	0	0.002187486	0.012496095	0.012645293	0	0	0	0	0	0	0	0	0.008388132	0.001716825	0.000549954
OTU103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021699267	0	0	0	0.001837817	0.014439315	0	0	0	0
OTU104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037800687	0	0	0	0	0	0	0	0	0	0	0	0
OTU105	0	0	0.018421604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006605606	0.00897837	0.000992096	0.000526756	0	0	0.000504948	0.001649863
OTU106	0.005195843	0	0	0.006448776	0.006171735	0	0.009904691	0.002929908	0	0	0	0	0	0	0	0	0	0.006777108	0	0	0	0	0	0	0	0
OTU107	0	0	0	0	0	0	0.020556905	0	0.005237215	0	0	0	0	0	0	0	0	0.011445783	0	0	0	0	0	0	0	0
OTU108	0	0	0.003140046	0.005422835	0	0	0.002990095	0.007099391	0.003080715	0	0	0.010102711	0.00296222	0	0	0	0	0	0	0.001133633	0.001301109	0	0	0	0	0
OTU109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026957831	0.001720788	0.000952251	0.001447484	0.005329532	0	0.0007249	0	0
OTU110	0.017985612	0	0.006280092	0	0	0	0.008409643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002322763	0.00192484
OTU111	0	0	0	0	0.010554562	0	0.004672024	0.002929908	0.002926679	0	0	0	0.001002598	0	0	0.008672249	0.005959658	0	0	0	0	0	0	0	0	0
OTU112	0.019451106	0	0	0.007035029	0	0	0	0.005521749	0.004621072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	0.016253664	0	0	0.00806097	0.004830054	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005273383	0.002085884	0	0	0	0	0	0
OTU114	0	0	0	0	0.002593918	0	0	0.003380663	0	0	0	0	0.009798113	0	0.016094009	0	0	0	0	0	0	0	0.000890916	0.003728059	0	0
OTU115	0	0	0	0	0	0	0	0.00180302	0.000308071	0	0	0	0.003098938	0.016557326	0.010473879	0	0	0	0	0	0	0	0.001354193	0.002485373	0	0.000320807
OTU116	0	0	0	0	0	0	0	0	0	0	0	0	0.019459509	0.016869728	0	0	0	0	0	0	0	0	0	0	0	0
OTU117	0	0	0	0	0	0	0	0	0	0.030070294	0	0	0.006015586	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU118	0	0	0	0	0	0	0	0	0	0	0	0	0.003782527	0	0.02209733	0	0	0	0	0	0	0	0.003634938	0.006316989	0	0
OTU119	0	0	0	0	0	0.011790817	0	0	0	0	0	0	0	0	0	0	0	0	0.006161532	0.00521471	0.000634291	0	0	0	0.006463341	0.005499542
OTU120	0	0	0	0	0	0	0	0.002479153	0.00107825	0	0	0	0.007701773	0.0131209	0	0.001644737	0	0	0	0	0	0	0.003955668	0.005747424	0	0
OTU121	0	0	0	0	0	0	0	0	0	0	0	0	0.001184888	0.009059669	0.015199898	0	0	0	0	0	0	0	0.002672749	0.007300782	0	0
OTU122	0	0	0.004814737	0	0	0	0.007101476	0.004056795	0.003542822	0	0	0	0	0	0	0	0.008863081	0.006626506	0	0	0	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021143	0	0.018495421	0.015896029	0	0
OTU124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006938662	0.007164558	0	0	0	0	0.009720259	0.010769936
OTU125	0	0	0	0	0	0	0.007849	0.00450755	0.010628466	0	0	0	0	0	0	0.003139952	0	0.007228916	0	0	0.000959568	0	0	0	0	0
OTU126	0.000266454	0	0.004396064	0.007474718	0.000268336	0	0.004485143	0.008564345	0.000770179	0.000520698	0.000709119	0.002525678	0.002096341	0	0	0.000897129	0.00091687	0	0	9.07E-05	0.000162639	0.000154928	0	0	0	0
OTU127	0	0	0	0	0	0	0	0.014649538	0	0	0.013047795	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002827712	0.003345555
OTU128	0.003730349	0.010140173	0	0	0	0.005409904	0	0	0	0.008070815	0	0	0	0	0	0.005233254	0	0	0	0.000952251	0	0	0	0	0	0
OTU129	0	0	0	0	0	0	0	0	0	0	0	0	0.006835893	0	0	0	0	0	0	0.007754047	0.002130566	0	0.004169488	0	0.008836599	0.003345555
OTU130	0	0	0	0	0	0	0.026723977	0	0	0	0	0	0	0	0	0	0	0	0.001387732	0.001904503	0.001577595	0.001363369	0	0	0	0
OTU131	0	0	0	0	0	0.027188237	0	0	0.001463339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002322763	0.001970669
OTU132	0.010924594	0	0	0	0	0	0	0	0	0.009242385	0	0	0	0	0	0	0	0	0.004440744	0.003083481	0.001967928	0	0	0	0	0.002887259
OTU133	0	0	0	0	0	0	0	0	0	0	0	0	0.001686187	0	0.006003321	0	0	0	0	0	0	0	0.003991305	0.020763216	0	0
