OTU.ID	kingdom	phylum	class	order	family	genus	species
OTU1	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	uncultured archaeon			
OTU2	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101 soil group		
OTU3	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	uncultured archaeon			
OTU4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured bacterium
OTU5	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)				
OTU6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
OTU7	Bacteria	Chloroflexi	KD4-96	uncultured bacterium			
OTU8	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)				
OTU9	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	YNPFFP1	uncultured bacterium	
OTU10	Bacteria	Chloroflexi	KD4-96	uncultured bacterium			
OTU11	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	uncultured bacterium
OTU13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	
OTU14	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured bacterium
OTU15	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	YNPFFP1	uncultured bacterium	
OTU16	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU17	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101 soil group		
OTU18	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	uncultured archaeon			
OTU19	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	uncultured bacterium	
OTU20	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU21	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae		
OTU22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	
OTU23	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	uncultured	
OTU24	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured Kaistobacter sp.
OTU25	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU26	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101 soil group		
OTU27	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured bacterium
OTU28	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Steroidobacter	uncultured bacterium
OTU29	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	
OTU30	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	DA101 soil group		
OTU31	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	uncultured archaeon			
OTU32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured forest soil bacterium
OTU33	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU34	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU35	Bacteria	Chloroflexi	KD4-96	uncultured bacterium			
OTU36	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU37	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	uncultured bacterium
OTU38	Bacteria	Acidobacteria	Acidobacteria	Subgroup 4	Unknown Family	Blastocatella	
OTU39	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU40	Bacteria	Chloroflexi	Gitt-GS-136	uncultured bacterium			
OTU41	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU42	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
OTU43	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU44	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)				
OTU45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	uncultured	uncultured bacterium
OTU46	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	uncultured bacterium
OTU47	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured bacterium
OTU49	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	
OTU50	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured bacterium
OTU51	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
OTU52	Bacteria	Acidobacteria	Acidobacteria	Subgroup 6			
OTU53	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	uncultured	
OTU54	Bacteria	Acidobacteria	Acidobacteria	Subgroup 2	uncultured forest soil bacterium		
OTU55	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
OTU56	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	
